Incident Number,Initial Call Type,Final Call Type,Responding Agency,Primary Responding Unit,Call Creation Time,First Dispatched Time,First Arrival Time,Clear Time,Priority,Call Creation Mechanism
15000074,ALMAUD,AUDIBLE ALARM,SPD ,1S18  ,16:21.0,18:28.0,21:13.0,32:08.0,3,PHONE
15000083,TRFSTP,DWS,SPD ,3D2   ,22:29.0,22:29.0,22:29.0,34:57.0,4,SELF 
15000167,MVAUNK,MOTOR VEH ACC UNKNOWN INJ,SPD ,      ,15:28.0,NULL,NULL,NULL,3,E911 
15000216,TRFSTP,DWS,SPD ,1S22  ,27:24.0,27:24.0,27:24.0,38:53.0,4,SELF 
15000222,SUSPVE,SUSPICIOUS VEHICLE,SPD ,1S11  ,52:53.0,53:57.0,56:21.0,04:04.0,3,PHONE
15000234,ALMAUD,AUDIBLE ALARM,SPD ,2S11  ,49:59.0,54:01.0,57:21.0,05:51.0,3,PHONE
15000238,TRFSTP,DWS,SPD ,2S21  ,00:46.0,00:47.0,00:47.0,16:39.0,4,SELF 
15000279,ALMAUD,AUDIBLE ALARM,SPD ,2S21  ,16:55.0,32:21.0,37:10.0,49:35.0,3,PHONE
15000303,OPNWND,OPEN WINDOW,SPD ,3S11  ,23:31.0,52:23.0,55:31.0,04:28.0,4,PHONE
15000307,TRFSTP,DWS,SPD ,2S21  ,28:35.0,28:35.0,28:35.0,40:43.0,4,SELF 
15000371,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,17:18.0,17:19.0,17:19.0,20:44.0, ,SELF 
15000428,TOWVEH,TOWED VEHICLE,SPD ,      ,47:46.0,NULL,NULL,NULL,9,PHONE
15000438,TOWVEH,TOWED VEHICLE,SPD ,      ,15:55.0,NULL,NULL,NULL,5,PHONE
15000607,INFOPD,INFORMATION - POLICE,SPD ,      ,26:59.0,NULL,NULL,NULL,5,PHONE
15000659,INCALL,INCOMPLETE CALL,SPD ,3S22  ,39:18.0,43:25.0,46:50.0,48:58.0,3,E911 
15000938,TRFHAZ,TRAFFIC HAZARD,SPD ,      ,44:32.0,NULL,NULL,NULL,3,PHONE
15001014,TRFSTP,DWS,SPD ,2S22  ,38:46.0,38:46.0,38:46.0,50:23.0,4,SELF 
15001050,TRAN  ,TRANSPORT,SPD ,      ,32:43.0,NULL,NULL,NULL,4,PHONE
